t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,1.000000,1.000000,0.040816,66,1.0445,1.7321,0,nan,nan,0.0
50,1.000000,0.124843,0.808390,16,9.4406,25.7682,1371,0.1473,0.1433,0.8
56,1.000000,0.116276,0.824263,12,11.0076,25.8844,135,0.9926,0.9967,0.9
62,1.000000,0.107080,0.836735,12,11.0905,26.3249,123,1.0000,1.0000,1.0
69,1.000000,0.097947,0.848639,17,9.3840,26.1534,119,0.9832,0.9920,1.1
77,1.000000,0.091144,0.841270,12,11.1206,26.6083,102,1.0000,1.0000,1.3
86,1.000000,0.084215,0.853741,11,11.7008,26.9444,119,1.0000,1.0000,1.4
96,1.000000,0.076594,0.850907,11,11.6814,27.3130,100,1.0000,0.9965,1.6
107,1.000000,0.068279,0.857710,10,12.3004,27.1662,111,1.0000,1.0000,1.7
119,1.000000,0.060595,0.877551,10,12.4419,27.7128,117,0.9915,0.9944,1.9
133,1.000000,0.054170,0.876417,8,13.9014,27.8388,104,1.0000,1.0000,2.1
148,1.000000,0.047115,0.881519,7,14.9045,28.2312,107,1.0000,1.0000,2.3
165,1.000000,0.040312,0.891156,6,16.1864,28.7750,123,1.0000,1.0000,2.5
184,1.000000,0.033762,0.891723,7,14.9905,28.5657,102,1.0000,1.0000,2.8
206,1.000000,0.028093,0.900227,5,17.8213,29.0689,113,1.0000,1.0000,3.2
230,1.000000,0.023243,0.911565,4,20.0499,29.8161,108,1.0000,1.0000,3.6
257,1.000000,0.019211,0.914399,5,17.9611,29.8329,82,1.0000,1.0000,4.0
287,1.000000,0.015432,0.911565,4,20.0499,29.9500,73,1.0000,1.0000,4.5
321,1.000000,0.011968,0.913832,4,20.0749,30.1993,91,1.0000,1.0000,5.1
359,1.000000,0.009826,0.925737,3,23.3310,30.7409,102,1.0000,1.0000,5.7
402,1.000000,0.007244,0.934807,3,23.4450,30.9354,89,1.0000,1.0000,6.3
450,1.000000,0.005417,0.945011,2,28.8704,31.5753,76,1.0000,1.0000,7.1
504,1.000000,0.004031,0.935941,2,28.7315,31.4643,59,1.0000,1.0000,7.9
564,1.000000,0.003086,0.946145,2,28.8877,31.7805,72,1.0000,1.0000,8.8
631,1.000000,0.002016,0.940476,2,28.8010,31.7648,57,1.0000,1.0000,9.8
706,1.000000,0.001386,0.947279,2,28.9050,32.5576,75,1.0000,1.0000,10.9
790,1.000000,0.000756,0.953515,2,29.0000,33.0000,69,1.0000,1.0000,12.3
884,1.000000,0.000567,0.950113,2,28.9482,33.1813,53,1.0000,1.0000,13.9
990,1.000000,0.000378,0.953515,2,29.0000,33.4066,58,1.0000,1.0000,15.6
1108,1.000000,0.000189,0.950680,2,28.9569,33.9264,57,1.0000,1.0000,17.4
1240,1.000000,0.000126,0.955215,2,29.0259,34.3220,59,1.0000,1.0000,19.5
1388,1.000000,0.000000,0.954649,2,29.0172,34.4238,54,1.0000,1.0000,21.8
1554,1.000000,0.000000,0.954082,2,29.0086,34.7131,60,1.0000,1.0000,24.5
1740,1.000000,0.000000,0.955782,2,29.0345,35.0286,59,1.0000,1.0000,27.4
1948,1.000000,0.000000,0.958617,2,29.0775,35.4542,54,1.0000,1.0000,30.5
2181,1.000000,0.000000,0.958617,3,23.7417,35.8608,58,1.0000,1.0000,34.1
2442,1.000000,0.000000,0.959184,3,23.7487,36.4966,63,1.0000,1.0000,38.0
2735,1.000000,0.000000,0.965420,2,29.1805,36.8103,53,1.0000,1.0000,42.5
3063,1.000000,0.000000,0.961451,2,29.1204,37.4566,49,1.0000,1.0000,47.5
3430,1.000000,0.000000,0.963719,2,29.1548,38.0526,55,1.0000,1.0000,53.5
3841,1.000000,0.000000,0.975624,2,29.3343,39.8246,61,1.0000,1.0000,60.1
4301,1.000000,0.000000,0.978458,2,29.3769,40.9023,41,1.0000,1.0000,68.1
4817,1.000000,0.000000,0.995465,1,41.9047,41.9047,38,1.0000,1.0000,76.4
5395,1.000000,0.000000,0.993197,1,41.8569,41.8569,8,1.0000,1.0000,84.8
6042,1.000000,0.000000,0.994331,1,41.8808,41.8808,12,1.0000,1.0000,94.1
6767,1.000000,0.000000,0.992630,1,41.8450,41.8450,10,1.0000,1.0000,105.9
7579,1.000000,0.000000,0.994898,1,41.8927,41.8927,13,1.0000,1.0000,118.0
8488,1.000000,0.000000,0.996032,1,41.9166,41.9166,9,1.0000,1.0000,131.4
9506,1.000000,0.000000,0.993197,1,41.8569,41.8569,7,1.0000,1.0000,147.0
10646,1.000000,0.000000,0.992630,1,41.8450,41.8450,12,1.0000,1.0000,164.6
11923,1.000000,0.000000,0.993764,1,41.8688,41.8688,13,1.0000,1.0000,184.0
12000,1.000000,0.000000,0.993764,1,41.8688,41.8688,11,1.0000,1.0000,185.3
