t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.688524,1.000000,0.046485,79,1.0188,1.4142,0,nan,nan,0.1
50,0.038423,0.274250,0.842971,10,12.1943,26.8887,1416,0.1829,0.1757,0.8
56,0.033321,0.267826,0.863379,8,13.7976,27.0924,76,0.9868,0.9934,0.9
62,0.031746,0.261653,0.865079,8,13.8112,26.9629,61,1.0000,1.0000,1.0
69,0.030108,0.257118,0.871315,7,14.8179,27.1109,70,1.0000,1.0000,1.1
77,0.029415,0.250567,0.878685,7,14.8805,27.4044,63,1.0000,1.0000,1.2
86,0.029415,0.245969,0.893991,6,16.2121,27.7849,67,1.0000,1.0000,1.3
96,0.026392,0.241623,0.893991,6,16.2121,28.0535,65,1.0000,1.0000,1.4
107,0.024943,0.236017,0.902494,7,15.0807,28.1603,68,1.0000,1.0000,1.6
119,0.022739,0.230159,0.913265,5,17.9499,28.5832,70,1.0000,1.0000,1.7
133,0.018896,0.223356,0.920068,4,20.1432,28.7402,66,1.0000,1.0000,1.9
148,0.017196,0.217813,0.925170,4,20.1990,29.0000,50,1.0000,1.0000,2.1
165,0.015621,0.212333,0.937075,3,23.4734,29.2233,56,1.0000,1.0000,2.3
184,0.014361,0.208806,0.943311,3,23.5514,29.5296,48,1.0000,1.0000,2.5
206,0.013794,0.205656,0.939909,3,23.5089,29.4449,33,1.0000,1.0000,2.8
230,0.012913,0.201625,0.936508,3,23.4663,29.6479,38,1.0000,1.0000,3.1
257,0.012472,0.198161,0.945578,2,28.8791,29.7153,49,1.0000,1.0000,3.4
287,0.012220,0.194444,0.944444,2,28.8617,29.9166,34,1.0000,1.0000,3.8
321,0.011779,0.190980,0.952948,2,28.9914,30.1496,47,1.0000,1.0000,4.2
359,0.011968,0.187012,0.959751,2,29.0947,30.4631,44,1.0000,1.0000,4.7
402,0.010330,0.184555,0.965420,2,29.1805,30.6920,34,1.0000,1.0000,5.4
450,0.010204,0.182288,0.960317,2,29.1033,30.5941,34,1.0000,1.0000,6.2
504,0.009574,0.180020,0.960884,2,29.1119,30.7896,30,1.0000,1.0000,6.9
564,0.009196,0.178760,0.960317,2,29.1033,31.0966,29,1.0000,1.0000,7.6
631,0.008692,0.177564,0.963152,2,29.1462,31.0644,28,1.0000,1.0000,8.3
706,0.008818,0.174729,0.965420,2,29.1805,31.4802,38,1.0000,1.0000,9.0
790,0.007685,0.171706,0.956916,2,29.0517,31.8904,33,1.0000,1.0000,9.9
884,0.008440,0.169312,0.960884,2,29.1119,32.1559,41,1.0000,1.0000,10.9
990,0.008566,0.166415,0.963719,2,29.1548,32.4962,37,1.0000,1.0000,12.1
1108,0.008062,0.164399,0.968821,2,29.2318,32.9242,33,1.0000,1.0000,13.3
1240,0.006803,0.160242,0.965986,2,29.1890,33.4365,39,1.0000,1.0000,14.6
1388,0.006677,0.156966,0.968254,2,29.2233,34.0441,34,1.0000,1.0000,16.5
1554,0.006425,0.153754,0.970522,2,29.2575,34.5977,40,1.0000,1.0000,18.6
1740,0.006425,0.149471,0.972222,2,29.2831,35.6230,41,1.0000,1.0000,20.6
1948,0.006992,0.146699,0.971088,2,29.2660,35.9861,31,1.0000,1.0000,23.0
2181,0.007055,0.140401,0.971088,2,29.2660,36.7696,40,1.0000,1.0000,25.8
2442,0.005669,0.134291,0.976757,2,29.3513,37.5100,35,1.0000,1.0000,28.9
2735,0.005795,0.127047,0.975057,2,29.3258,38.3667,37,1.0000,1.0000,32.7
3063,0.004535,0.116087,0.977891,2,29.3684,39.1918,42,1.0000,1.0000,36.4
3430,0.003653,0.106513,0.986395,2,29.4958,40.3733,39,1.0000,1.0000,41.1
3841,0.002205,0.096687,0.993197,2,29.5973,41.4488,24,1.0000,1.0000,45.7
4301,0.000000,0.092530,1.000000,1,42.0000,42.0000,12,1.0000,1.0000,51.2
4817,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,56.9
5395,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,64.2
6042,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,71.9
6767,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,80.2
7579,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,89.8
8488,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,101.0
9506,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,112.4
10646,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,125.3
11923,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,139.3
12000,0.000000,0.092530,1.000000,1,42.0000,42.0000,0,nan,nan,140.1
