t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.315571,1.000000,0.032880,58,1.0000,1.0000,0,nan,nan,0.1
50,0.000000,0.740993,0.391723,282,1.5654,4.3589,638,0.1379,0.1279,1.1
56,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,1.1
62,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,1.2
69,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,1.3
77,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,1.4
86,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,1.6
96,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,1.7
107,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,1.8
119,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,2.0
133,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,2.1
148,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,2.3
165,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,2.7
184,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,3.0
206,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,3.3
230,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,3.6
257,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,3.9
287,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,4.2
321,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,4.6
359,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,5.0
402,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,5.5
450,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,6.1
504,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,6.8
564,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,7.4
631,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,8.0
706,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,8.8
790,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,9.6
884,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,10.6
990,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,11.7
1108,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,13.1
1240,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,14.5
1388,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,16.2
1554,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,17.9
1740,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,19.8
1948,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,22.1
2181,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,24.7
2442,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,27.5
2735,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,30.7
3063,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,34.6
3430,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,39.1
3841,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,43.6
4301,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,48.4
4817,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,53.7
5395,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,59.9
6042,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,67.1
6767,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,74.7
7579,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,82.5
8488,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,92.4
9506,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,102.7
10646,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,114.6
11923,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,128.0
12000,0.000000,0.740993,0.391723,282,1.5654,4.3589,0,nan,nan,128.8
