t,mobility,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.697436,0.051649,75,1.2596,2.6458,119,nan,nan,0.0
50,0.675458,0.257378,109,2.3325,5.4772,532,0.2105,0.1525,0.3
56,0.667399,0.265191,107,2.3896,5.3852,116,0.8276,0.5185,0.3
62,0.666667,0.268229,108,2.3921,5.3852,119,0.8992,0.5034,0.4
69,0.661538,0.278646,109,2.4269,5.4772,129,0.7674,0.5221,0.4
77,0.660073,0.285156,101,2.5505,6.0828,135,0.7926,0.5263,0.5
86,0.687912,0.290365,99,2.5995,7.0711,149,0.7919,0.5346,0.5
96,0.663736,0.306424,95,2.7261,8.1240,149,0.8389,0.5493,0.6
107,0.665934,0.309028,89,2.8284,6.9282,139,0.9137,0.5565,0.6
119,0.660073,0.312066,82,2.9611,8.1240,132,0.9091,0.5549,0.7
133,0.646886,0.320312,83,2.9819,9.3274,137,0.7956,0.5423,0.8
148,0.645421,0.324219,77,3.1147,8.8882,138,0.8841,0.5489,0.9
165,0.670330,0.329427,81,3.0611,8.7750,147,0.8707,0.5653,1.0
184,0.641026,0.337674,74,3.2425,7.2111,150,0.8867,0.5743,1.1
206,0.627106,0.351128,66,3.5011,8.6023,175,0.8857,0.5511,1.2
230,0.641758,0.357639,70,3.4310,7.9373,143,0.7972,0.5549,1.2
257,0.623443,0.349392,61,3.6327,8.4261,132,0.8636,0.5761,1.3
287,0.602198,0.355903,63,3.6078,11.0000,154,0.8896,0.5386,1.4
321,0.613919,0.362847,56,3.8638,8.6603,150,0.8467,0.5463,1.5
359,0.602198,0.366319,58,3.8147,11.7473,161,0.9068,0.5618,1.6
402,0.574359,0.371962,55,3.9474,14.0357,166,0.8554,0.5666,1.8
450,0.562637,0.368056,59,3.7912,11.0000,164,0.8963,0.5424,1.9
504,0.583883,0.371094,54,3.9791,10.5357,168,0.8869,0.5467,2.0
564,0.575824,0.376736,51,4.1255,9.7980,176,0.8693,0.5534,2.2
631,0.534066,0.382378,43,4.5264,13.3417,162,0.9198,0.5358,2.4
706,0.532601,0.383681,39,4.7610,10.5830,169,0.8462,0.5234,2.6
790,0.531868,0.391059,46,4.4257,9.1104,173,0.8728,0.5055,2.9
884,0.553114,0.397135,40,4.7828,13.3417,201,0.8557,0.5313,3.2
990,0.520879,0.396701,43,4.6104,9.5394,200,0.8800,0.5260,3.6
1108,0.520147,0.410156,41,4.8009,9.9499,192,0.8177,0.5039,4.0
1240,0.535531,0.413194,34,5.2915,9.2736,193,0.8135,0.5308,4.3
1388,0.500366,0.414062,33,5.3767,9.6954,177,0.8701,0.5138,4.7
1554,0.500366,0.414931,35,5.2263,10.7238,197,0.8477,0.4817,5.2
1740,0.501832,0.425781,30,5.7184,10.7703,214,0.8224,0.5002,5.6
1948,0.476190,0.431424,27,6.0675,12.0830,192,0.9010,0.5049,6.1
2200,0.471062,0.424479,30,5.7096,11.9164,190,0.8421,0.4839,6.8
2600,0.493773,0.439670,27,6.1252,10.7238,273,0.7436,0.4738,7.9
3000,0.490110,0.449219,23,6.7082,15.8114,242,0.7810,0.4965,9.0
3400,0.490842,0.440972,25,6.3750,16.3095,250,0.7720,0.5052,10.1
4000,0.476923,0.442274,20,7.1379,10.6301,269,0.7323,0.4920,12.2
4600,0.457143,0.458333,19,7.4551,14.0712,274,0.7518,0.4827,14.0
5200,0.450549,0.457899,20,7.2629,14.1774,236,0.7712,0.4850,15.9
6000,0.433700,0.467882,14,8.7750,17.7764,251,0.7291,0.4508,18.8
6800,0.426374,0.461806,14,8.7178,17.6352,227,0.7753,0.4674,21.1
7800,0.429304,0.472656,16,8.2500,16.8226,279,0.7168,0.4652,24.7
8800,0.392674,0.478733,10,10.5024,16.2788,288,0.7257,0.4688,27.5
10000,0.346520,0.483941,8,11.8057,24.3105,239,0.7782,0.4385,30.4
11400,0.384615,0.486545,13,9.2861,15.3623,219,0.7671,0.3826,33.3
12800,0.372894,0.484375,11,10.0725,23.5160,244,0.6680,0.4318,36.1
14400,0.367033,0.483507,12,9.6350,16.8226,239,0.6569,0.3979,39.6
16200,0.356044,0.487413,11,10.1040,18.3030,246,0.7195,0.4126,43.5
18200,0.360440,0.494792,11,10.1802,17.5499,247,0.7045,0.4126,48.5
20400,0.345788,0.491753,10,10.6442,17.1756,221,0.7330,0.3937,54.3
23000,0.342857,0.499132,7,12.8174,18.3576,261,0.6590,0.3797,60.1
25800,0.344322,0.494792,9,11.2546,15.2643,269,0.6245,0.3967,66.5
29000,0.334066,0.504340,11,10.2780,18.1108,247,0.5951,0.3814,73.8
32600,0.331868,0.511285,8,12.1347,18.3303,270,0.6259,0.3659,81.6
36600,0.284982,0.513021,8,12.1552,14.9666,270,0.6000,0.3630,89.9
41000,0.291575,0.510417,6,14.0000,21.7945,191,0.6492,0.3398,99.6
46000,0.292308,0.506510,7,12.9118,18.9209,216,0.5833,0.3162,111.3
51600,0.293040,0.511285,9,11.4407,18.0278,223,0.6816,0.3357,124.5
57800,0.282784,0.520833,7,13.0931,18.7083,229,0.5633,0.3330,139.5
60000,0.254945,0.521267,7,13.0985,18.8680,162,0.7284,0.3250,144.7
