t,mobility,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.339194,0.051649,75,1.2596,2.6458,119,nan,nan,0.0
50,0.161172,0.061632,94,1.2291,3.0000,82,0.3171,0.1384,0.3
56,0.158242,0.062066,98,1.2080,2.8284,16,0.3750,0.2125,0.3
62,0.156044,0.060764,95,1.2140,2.4495,18,0.4444,0.2111,0.3
69,0.150916,0.059462,96,1.1946,2.4495,23,0.3043,0.1522,0.3
77,0.150183,0.059028,91,1.2225,2.6458,22,0.6364,0.1886,0.4
86,0.149451,0.057726,88,1.2294,2.8284,20,0.5500,0.2000,0.4
96,0.152381,0.057726,82,1.2736,3.0000,24,0.5833,0.1979,0.5
107,0.139927,0.060330,85,1.2788,3.1623,32,0.6250,0.1844,0.5
119,0.158242,0.060764,93,1.2269,2.6458,20,0.2500,0.1800,0.6
133,0.149451,0.063368,87,1.2954,3.1623,23,0.6087,0.1761,0.6
148,0.142125,0.064670,91,1.2796,3.1623,22,0.5000,0.2023,0.7
165,0.143590,0.064236,92,1.2683,2.8284,19,0.5263,0.1684,0.7
184,0.134799,0.062934,89,1.2764,2.8284,21,0.4286,0.1690,0.8
206,0.147985,0.065538,91,1.2882,3.1623,31,0.4839,0.2000,0.9
230,0.139927,0.063368,91,1.2666,3.0000,17,0.4706,0.2059,0.9
257,0.124542,0.061198,96,1.2119,3.0000,24,0.5000,0.1688,1.0
287,0.132601,0.059462,95,1.2009,2.4495,32,0.4062,0.2031,1.1
321,0.126007,0.059028,98,1.1780,2.6458,35,0.4857,0.1986,1.2
359,0.121612,0.063802,100,1.2124,2.4495,45,0.4889,0.1900,1.3
402,0.128205,0.062500,101,1.1940,3.0000,37,0.6216,0.2189,1.5
450,0.134066,0.062500,102,1.1882,2.6458,35,0.5429,0.2100,1.7
504,0.126007,0.064236,99,1.2227,2.8284,35,0.5714,0.2214,1.9
564,0.128938,0.066840,103,1.2228,3.3166,37,0.4595,0.2054,2.1
631,0.117949,0.062066,102,1.1840,3.0000,28,0.5000,0.2161,2.4
706,0.120879,0.061198,101,1.1815,3.0000,31,0.5161,0.2016,2.6
790,0.106960,0.064670,99,1.2268,3.1623,35,0.4286,0.1800,2.9
884,0.118681,0.062500,102,1.1882,2.6458,35,0.3429,0.1829,3.3
990,0.108425,0.063368,105,1.1792,2.6458,38,0.5000,0.2158,3.6
1108,0.098901,0.066406,108,1.1902,2.6458,36,0.5000,0.2250,4.0
1240,0.095971,0.067274,108,1.1980,3.1623,33,0.6364,0.2076,4.4
1388,0.083516,0.064236,107,1.1761,3.0000,23,0.5652,0.1935,4.9
1554,0.087179,0.065104,111,1.1625,2.4495,29,0.6552,0.2172,5.4
1740,0.093773,0.063802,107,1.1721,2.4495,36,0.5000,0.2125,5.7
1948,0.077656,0.067708,108,1.2019,2.6458,33,0.4848,0.2394,6.2
2200,0.084982,0.063368,103,1.1906,2.6458,24,0.5000,0.2062,6.9
2600,0.076923,0.068576,110,1.1985,3.0000,44,0.5227,0.2091,7.7
3000,0.079853,0.070312,111,1.2081,3.3166,28,0.5714,0.1911,8.6
3400,0.082784,0.067708,111,1.1855,3.1623,25,0.5600,0.2360,9.5
4000,0.080586,0.072483,112,1.2211,3.3166,39,0.5385,0.1885,10.9
4600,0.072527,0.066840,114,1.1623,2.4495,31,0.5161,0.2242,12.4
5200,0.079853,0.066840,114,1.1623,2.4495,31,0.4194,0.2177,13.7
6000,0.076190,0.065972,110,1.1755,2.8284,39,0.5128,0.2077,16.2
6800,0.068864,0.068142,116,1.1634,2.4495,39,0.4103,0.2141,18.2
7800,0.082051,0.068576,111,1.1931,2.4495,33,0.5455,0.2015,20.2
8800,0.075458,0.063368,107,1.1681,2.4495,29,0.4483,0.2276,22.1
10000,0.074725,0.063368,107,1.1681,2.2361,49,0.4490,0.2082,24.9
11400,0.087179,0.059462,99,1.1764,2.6458,37,0.5135,0.1959,28.3
12800,0.081319,0.067274,112,1.1764,2.4495,56,0.3571,0.1714,31.7
14400,0.073993,0.068576,107,1.2152,2.6458,45,0.3778,0.1978,35.7
16200,0.076923,0.068576,113,1.1825,2.4495,55,0.4364,0.2000,39.9
18200,0.080586,0.071181,115,1.1942,2.4495,51,0.4706,0.2225,45.0
20400,0.083516,0.068142,113,1.1787,2.4495,32,0.4062,0.2609,50.9
23000,0.070330,0.067708,110,1.1909,2.6458,46,0.5652,0.2293,56.1
25800,0.070330,0.071181,119,1.1739,2.6458,50,0.3800,0.2180,61.8
29000,0.069597,0.072049,113,1.2120,2.6458,52,0.4231,0.2202,68.4
32600,0.079121,0.071181,116,1.1890,2.4495,48,0.3958,0.2042,76.0
36600,0.078388,0.069444,119,1.1595,2.4495,52,0.4038,0.2519,85.1
41000,0.079853,0.067274,106,1.2092,2.6458,47,0.4681,0.2223,95.6
46000,0.079853,0.075521,122,1.1942,2.4495,61,0.3607,0.2205,106.2
51600,0.081319,0.076823,122,1.2045,2.8284,53,0.5094,0.2321,119.2
57800,0.087912,0.076389,119,1.2161,2.6458,61,0.4590,0.2303,131.9
60000,0.084249,0.075955,119,1.2127,2.8284,48,0.5000,0.2292,136.6
