t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,1.000000,1.000000,0.046485,79,1.0188,1.4142,0,nan,nan,0.0
50,1.000000,0.239355,0.842971,15,9.9566,26.9815,1418,0.1749,0.1754,0.7
56,1.000000,0.232363,0.852608,9,12.9271,29.4958,88,1.0000,1.0000,0.8
62,1.000000,0.226757,0.851474,8,13.7022,29.7321,79,1.0000,1.0000,0.9
69,1.000000,0.220585,0.861678,11,11.7551,29.8496,83,1.0000,1.0000,1.0
77,1.000000,0.215357,0.863946,7,14.7551,30.0000,75,1.0000,1.0000,1.2
86,1.000000,0.209310,0.867914,7,14.7890,30.2985,67,1.0000,1.0000,1.4
96,1.000000,0.204334,0.865646,7,14.7697,30.5941,75,1.0000,1.0000,1.6
107,1.000000,0.198287,0.875283,8,13.8924,30.8221,88,1.0000,1.0000,1.8
119,1.000000,0.193311,0.875850,7,14.8565,31.0966,68,1.0000,1.0000,2.0
133,1.000000,0.187579,0.888889,5,17.7088,31.3528,89,1.0000,1.0000,2.3
148,1.000000,0.182162,0.894558,5,17.7651,31.5911,78,1.0000,1.0000,2.5
165,1.000000,0.176871,0.900794,6,16.2737,31.7490,76,1.0000,1.0000,2.7
184,1.000000,0.172084,0.897392,6,16.2429,32.0156,65,1.0000,1.0000,3.1
206,1.000000,0.167486,0.899093,4,19.9123,32.1092,61,1.0000,1.0000,3.5
230,1.000000,0.162132,0.917234,4,20.1122,32.5269,93,1.0000,1.0000,3.9
257,1.000000,0.154636,0.909864,4,20.0312,32.8481,73,1.0000,1.0000,4.3
287,1.000000,0.149219,0.925170,4,20.1990,33.2716,80,1.0000,1.0000,4.8
321,1.000000,0.143172,0.921769,4,20.1618,33.4515,63,1.0000,1.0000,5.5
359,1.000000,0.137062,0.933107,5,18.1439,33.9116,74,1.0000,1.0000,6.2
402,1.000000,0.131393,0.937075,5,18.1824,34.1614,67,1.0000,1.0000,6.8
450,1.000000,0.126354,0.942744,2,28.8357,34.2637,60,1.0000,1.0000,7.5
504,1.000000,0.120874,0.938209,3,23.4876,34.2199,55,1.0000,1.0000,8.3
564,1.000000,0.116087,0.950113,2,28.9482,34.6554,65,1.0000,1.0000,9.3
631,1.000000,0.109221,0.958617,2,29.0775,34.5254,64,1.0000,1.0000,10.2
706,1.000000,0.102797,0.954082,2,29.0086,34.4819,46,1.0000,1.0000,11.5
790,1.000000,0.097254,0.958050,2,29.0689,34.5832,52,1.0000,1.0000,12.8
884,1.000000,0.092593,0.958050,2,29.0689,34.5688,45,1.0000,1.0000,14.5
990,1.000000,0.087365,0.963719,2,29.1548,34.6554,51,1.0000,1.0000,16.5
1108,1.000000,0.080940,0.964286,2,29.1633,34.9142,51,1.0000,1.0000,18.9
1240,1.000000,0.075523,0.963152,2,29.1462,35.1994,40,1.0000,1.0000,21.6
1388,1.000000,0.070673,0.968254,2,29.2233,35.1568,50,1.0000,1.0000,24.1
1554,1.000000,0.065319,0.964286,2,29.1633,35.1141,33,1.0000,1.0000,26.7
1740,1.000000,0.059776,0.971655,2,29.2746,35.0999,38,1.0000,1.0000,29.9
1948,1.000000,0.054422,0.971088,2,29.2660,35.4119,39,1.0000,1.0000,33.9
2181,1.000000,0.049824,0.967687,2,29.2147,35.3695,26,1.0000,1.0000,38.0
2442,1.000000,0.043840,0.968254,2,29.2233,34.9571,38,1.0000,1.0000,42.2
2735,1.000000,0.039116,0.967120,2,29.2062,34.7563,39,1.0000,1.0000,46.7
3063,1.000000,0.035084,0.963719,2,29.1548,34.5109,33,1.0000,1.0000,52.0
3430,1.000000,0.030045,0.967687,2,29.2147,34.5688,41,1.0000,1.0000,58.5
3841,1.000000,0.025825,0.965420,2,29.1805,35.1568,39,1.0000,1.0000,65.2
4301,1.000000,0.021164,0.971655,2,29.2746,35.1852,43,1.0000,1.0000,73.5
4817,1.000000,0.017637,0.970522,2,29.2575,35.7351,39,1.0000,1.0000,82.7
5395,1.000000,0.014739,0.969388,2,29.2404,35.7491,37,1.0000,1.0000,92.0
6042,1.000000,0.011401,0.965986,2,29.1890,36.1386,42,1.0000,1.0000,102.6
6767,1.000000,0.008755,0.963152,2,29.1462,35.4260,41,1.0000,1.0000,115.3
7579,1.000000,0.006866,0.965420,2,29.1805,35.1568,41,1.0000,1.0000,128.4
8488,1.000000,0.004913,0.967687,2,29.2147,35.5246,45,1.0000,1.0000,143.2
9506,1.000000,0.003527,0.967120,2,29.2062,35.1568,32,1.0000,1.0000,161.7
10646,1.000000,0.002394,0.968254,2,29.2233,35.6791,43,1.0000,1.0000,181.8
11923,1.000000,0.001323,0.965420,2,29.1805,35.5106,38,1.0000,1.0000,202.2
12000,1.000000,0.001260,0.969388,2,29.2404,35.6931,34,1.0000,1.0000,203.4
