t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.689720,1.000000,0.032880,58,1.0000,1.0000,0,nan,nan,0.1
50,0.040942,0.276077,0.838435,12,11.1018,27.6043,1433,0.1270,0.1284,0.8
56,0.041194,0.268770,0.853175,9,12.9314,27.7489,80,1.0000,1.0000,0.9
62,0.037163,0.262094,0.859977,7,14.7212,27.8927,62,1.0000,1.0000,1.0
69,0.034266,0.254661,0.863379,7,14.7503,28.2312,67,1.0000,1.0000,1.1
77,0.033573,0.248299,0.867347,6,15.9687,28.9482,68,1.0000,1.0000,1.2
86,0.029919,0.242504,0.873016,3,22.6569,28.9310,67,1.0000,1.0000,1.4
96,0.027904,0.236206,0.876984,3,22.7083,29.2062,65,1.0000,1.0000,1.5
107,0.026770,0.231293,0.878685,3,22.7303,29.1204,57,1.0000,1.0000,1.7
119,0.023810,0.224301,0.884354,3,22.8035,27.0370,65,1.0000,1.0000,1.8
133,0.025573,0.217624,0.894558,2,28.0891,29.3939,64,1.0000,1.0000,2.0
148,0.023998,0.211514,0.893424,3,22.9202,27.2397,51,1.0000,1.0000,2.2
165,0.023180,0.205215,0.902494,2,28.2135,29.6985,74,1.0000,1.0000,2.4
184,0.023054,0.198980,0.901927,2,28.2046,29.6985,63,1.0000,1.0000,2.7
206,0.022235,0.191232,0.901927,2,28.2046,30.0167,69,1.0000,1.0000,3.0
230,0.022235,0.186823,0.905329,2,28.2577,29.8998,60,1.0000,1.0000,3.3
257,0.020534,0.181343,0.914399,2,28.3989,30.0832,63,1.0000,1.0000,3.6
287,0.019274,0.175926,0.923469,2,28.5394,30.1993,74,1.0000,1.0000,4.0
321,0.018015,0.171706,0.917800,2,28.4517,29.9833,52,1.0000,1.0000,4.3
359,0.015747,0.167360,0.919501,2,28.4781,30.1164,67,1.0000,1.0000,4.7
402,0.015117,0.160242,0.927438,2,28.6007,30.5287,77,1.0000,1.0000,5.1
450,0.013102,0.154762,0.943311,2,28.8444,30.7246,67,1.0000,1.0000,5.6
504,0.012598,0.150605,0.945578,2,28.8791,30.8707,56,1.0000,1.0000,6.2
564,0.010834,0.147329,0.948980,2,28.9310,31.0966,49,1.0000,1.0000,6.9
631,0.010582,0.143487,0.951814,2,28.9741,31.2250,50,1.0000,1.0000,7.5
706,0.009826,0.139519,0.956349,2,29.0431,31.2090,52,1.0000,1.0000,8.3
790,0.010330,0.137818,0.958617,2,29.0775,31.1288,28,1.0000,1.0000,9.1
884,0.010204,0.134543,0.952381,2,28.9828,31.5119,37,1.0000,1.0000,10.0
990,0.009070,0.132086,0.956349,2,29.0431,31.2250,41,1.0000,1.0000,11.0
1108,0.008188,0.129504,0.961451,2,29.1204,31.1127,41,1.0000,1.0000,12.6
1240,0.008314,0.127740,0.952948,2,28.9914,30.8869,31,1.0000,1.0000,14.1
1388,0.006992,0.126480,0.963152,2,29.1462,30.7571,50,1.0000,1.0000,15.9
1554,0.007181,0.125535,0.960317,2,29.1033,30.9354,36,1.0000,1.0000,17.9
1740,0.005795,0.124591,0.963719,2,29.1548,31.0000,35,1.0000,1.0000,20.0
1948,0.006551,0.121693,0.970522,2,29.2575,31.0966,36,1.0000,1.0000,22.2
2181,0.005795,0.120937,0.961451,2,29.1204,30.8545,22,1.0000,1.0000,25.0
2442,0.004913,0.119426,0.960884,2,29.1119,30.6431,31,1.0000,1.0000,28.0
2735,0.004157,0.117914,0.958050,2,29.0689,30.7734,15,1.0000,1.0000,31.5
3063,0.003149,0.115709,0.959184,2,29.0861,30.6594,26,1.0000,1.0000,35.2
3430,0.002016,0.112875,0.956916,2,29.0517,30.5450,21,1.0000,1.0000,40.3
3841,0.001260,0.111237,0.959184,2,29.0861,30.4138,14,1.0000,1.0000,45.6
4301,0.000882,0.110796,0.962018,2,29.1290,30.4795,16,1.0000,1.0000,51.0
4817,0.000504,0.109599,0.957483,2,29.0603,30.3974,10,1.0000,1.0000,56.9
5395,0.000504,0.109410,0.955782,2,29.0345,30.3974,0,nan,nan,64.4
6042,0.000252,0.109221,0.952381,2,28.9828,30.3974,0,nan,nan,71.8
6767,0.000000,0.109221,0.952381,2,28.9828,30.3974,0,nan,nan,80.0
7579,0.000000,0.109221,0.952381,2,28.9828,30.3974,0,nan,nan,90.2
8488,0.000000,0.109221,0.952381,2,28.9828,30.3974,0,nan,nan,101.6
9506,0.000000,0.109221,0.952381,2,28.9828,30.3974,0,nan,nan,113.7
10646,0.000000,0.109221,0.952381,2,28.9828,30.3974,0,nan,nan,129.9
11923,0.000000,0.109221,0.952381,2,28.9828,30.3974,0,nan,nan,146.2
12000,0.000000,0.109221,0.952381,2,28.9828,30.3974,0,nan,nan,147.0
