t,mobility,persistence,f_ord,n_clusters,r_mean,r_max,n_new,phi_temp,phi_null,wall_s
0,0.315571,1.000000,0.032880,58,1.0000,1.0000,0,nan,nan,0.0
50,0.000000,0.741308,0.388889,278,1.5709,4.4721,634,0.1325,0.1263,0.7
56,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,0.7
62,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,0.8
69,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,0.9
77,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,1.0
86,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,1.1
96,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,1.2
107,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,1.3
119,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,1.5
133,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,1.7
148,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,1.8
165,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,2.0
184,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,2.2
206,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,2.5
230,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,2.9
257,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,3.2
287,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,3.6
321,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,4.0
359,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,4.5
402,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,5.1
450,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,5.7
504,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,6.3
564,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,7.1
631,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,8.0
706,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,8.9
790,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,9.9
884,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,11.1
990,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,12.4
1108,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,13.9
1240,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,15.5
1388,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,17.5
1554,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,19.3
1740,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,21.5
1948,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,23.9
2181,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,26.6
2442,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,29.7
2735,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,32.7
3063,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,36.5
3430,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,40.4
3841,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,44.8
4301,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,50.0
4817,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,55.6
5395,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,61.8
6042,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,69.0
6767,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,76.7
7579,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,85.4
8488,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,95.5
9506,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,107.0
10646,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,120.7
11923,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,135.2
12000,0.000000,0.741308,0.388889,278,1.5709,4.4721,0,nan,nan,136.4
